No.,Channel Name,Receive Frequency,Transmit Frequency,Channel Type,Transmit Power,Band Width,CTCSS/DCS Decode, CTCSS/DCS Encode,Contact,Contact Call Type,Contact TG/DMR ID,Radio ID,Busy Lock/TX Permit,Squelch Mode,Optional Signal,DTMF ID,2Tone ID,5Tone ID,PTT ID,Color Code,Slot,Scan List,Receive Group List,PTT Prohibit,Reverse,Simplex TDMA,Slot Suit,AES Digital Encryption,Digital Encryption,Call Confirmation,Talk Around(Simplex),Work Alone,Custom CTCSS,2Tone Decode,Ranging,Through Mode,Digi APRS RX,Analog APRS PTT Mode,Digital APRS PTT Mode,APRS Report Type,Digital APRS Report Channel,Correct Frequency[Hz],SMS Confirmation,Exclude channel from roaming,DMR MODE,DataAck Disable,R5ToneBot,R5ToneEot,R5ToneEot,Auto Scan,Ana Aprs Mute,Send Talker Alias,AnaAprsTxPath,ARC4,ex_emg_kind
15,"KQ2H",224.80000,223.20000,A-Analog,High,25K,141.3,141.3,RB1,Group Call,1,Radio 1,Off,CTCSS/DCS,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
16,"KQ2H",449.22500,444.22500,A-Analog,High,25K,67.0,82.5,RB1,Group Call,1,Radio 1,Off,CTCSS/DCS,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
17,"N2BEI",147.19500,147.79500,A-Analog,High,25K,Off,136.5,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
18,"N2BEI",446.90000,441.90000,A-Analog,High,25K,Off,136.5,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
19,"N2BEI",449.32500,444.32500,A-Analog,High,25K,Off,136.5,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
20,"N2BUS",449.62500,444.62500,A-Analog,High,25K,Off,107.2,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
21,"N2ION",444.05000,449.05000,A-Analog,High,25K,114.8,114.8,RB1,Group Call,1,Radio 1,Off,CTCSS/DCS,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
22,"N2JDW",147.15000,147.75000,A-Analog,High,25K,123.0,136.5,RB1,Group Call,1,Radio 1,Off,CTCSS/DCS,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
23,"N2JDW",449.02500,444.02500,A-Analog,High,25K,123.0,123.0,RB1,Group Call,1,Radio 1,Off,CTCSS/DCS,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
24,"N2SMI",224.34000,222.74000,A-Analog,High,25K,Off,136.5,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
25,"N2YN",443.65000,448.65000,A-Analog,High,25K,77.0,77.0,RB1,Group Call,1,Radio 1,Off,CTCSS/DCS,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
26,"NE2E",441.45000,446.45000,A-Analog,High,25K,Off,123.0,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
27,"NY4Z",440.60000,445.60000,A-Analog,High,25K,Off,141.3,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
28,"NY4Z",446.27500,441.27500,A-Analog,High,25K,Off,141.3,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
29,"W2ABC",147.27000,147.87000,A-Analog,High,25K,Off,141.3,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
30,"WA2CBS",445.07500,440.07500,A-Analog,High,25K,Off,114.8,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
31,"WA2HDE",224.66000,223.06000,A-Analog,High,25K,127.3,127.3,RB1,Group Call,1,Radio 1,Off,CTCSS/DCS,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
32,"WA2ZLB",147.36000,147.96000,A-Analog,High,25K,Off,107.2,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
33,"WA2ZLB",223.94000,222.34000,A-Analog,High,25K,Off,107.2,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
34,"WA2ZLB",447.82500,442.82500,A-Analog,High,25K,107.2,107.2,RB1,Group Call,1,Radio 1,Off,CTCSS/DCS,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
35,"WB2ZSE",147.00000,146.40000,A-Analog,High,25K,136.5,136.5,RB1,Group Call,1,Radio 1,Off,CTCSS/DCS,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
36,"WB2ZSE",449.80000,444.80000,A-Analog,High,25K,Off,114.8,RB1,Group Call,1,Radio 1,Off,Carrier,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
37,"WB2ZTH",447.17500,442.17500,A-Analog,High,25K,141.3,141.3,RB1,Group Call,1,Radio 1,Off,CTCSS/DCS,Off,1,1,1,Off,1,1,None,None,Off,Off,Off,Off,Normal Encryption,Off,Off,Off,Off,251.1,0,Off,Off,Off,Off,Off,Off,1,0,Off,0,0,0,0,0
