"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","PTT Prohibit","Reverse","Simplex TDMA","Slot Suit","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming","DMR MODE","DataACK Disable","R5toneBot","R5ToneEot","Auto Scan","Ana Aprs Mute","Send Talker Alias","AnaAprsTxPath","ARC4","ex_emg_kind"
"15","SKY TG Disc","446.55000","446.55000","D-Digital","Low","12.5K","Off","Off","PC4000 Disconnec","Group Call","4000","Andrew N2ZT","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"17","WB0YRG WW","444.46250","449.46250","D-Digital","Turbo","12.5K","Off","Off","TG91 World-wide","Group Call","91","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","4","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"18","WB0YRG PARROT","444.46250","449.46250","D-Digital","Turbo","12.5K","Off","Off","PC9990 Parrot","Private Call","9990","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","4","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"19","WB0YRG USA","444.46250","449.46250","D-Digital","Turbo","12.5K","Off","Off","TG3100 BM US Nat","Group Call","3100","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","4","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"20","WB0YRG MO","444.46250","449.46250","D-Digital","Turbo","12.5K","Off","Off","TG3129 Missouri","Group Call","3129","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","4","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"21","WB0YRG TG DISC","444.46250","449.46250","D-Digital","Turbo","12.5K","Off","Off","PC4000 Disconnec","Group Call","4000","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","4","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"23","W0MB Analog","145.43000","144.83000","A-Analog","Turbo","25K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"24","KB0EQV Analog","443.90000","448.90000","A-Analog","Turbo","25K","Off","127.3","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"25","K0GQ Analog","145.17000","144.57000","A-Analog","Turbo","25K","151.4","151.4","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"27","Digital Example","444.46250","449.46250","D-Digital","High","12.5K","Off","Off","PC9990 Parrot","Private Call","9990","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","SKY Scan List","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Start Of Transmission","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"28","Analog Example","443.90000","448.90000","A-Analog","High","25K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"30","NOAA 1","162.40000","146.00000","A-Analog","Low","25K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","On","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"31","NOAA 2","162.42500","146.00000","A-Analog","Low","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","On","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"32","NOAA 3","162.45000","146.00000","A-Analog","Low","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","On","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"33","NOAA 4","162.47500","146.00000","A-Analog","Low","25K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","On","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"34","NOAA 5","162.50000","146.00000","A-Analog","Low","25K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","On","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"35","NOAA 6","162.52500","146.00000","A-Analog","Low","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","On","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"36","NOAA 7","162.55000","146.00000","A-Analog","Low","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","NOAA","None","On","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
"39","APRS Analog","144.39000","144.39000","A-Analog","Low","25K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Off","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","On","Start Of Transmission","Off","Analog","1","0","Off","0","0","0","0","0","0","1","0","0","0","0"
"41","P1-NY Metro","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"42","P1-World Wide","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"43","P1-North America","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"44","P1-World Wide En","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"45","P1-NE Regional","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"46","P1-TAC 310","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"47","P1-TAC 311","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"48","P1-TAC 312","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"49","P1-DCI Bridge","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"50","P1-LIMARC Local","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"51","P1-Parrot Test","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"52","P1-Time Slot 1","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"53","P1-Slot 2","449.37500","444.37500","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Off","1","0","Off","0","1","0","0","0","0","0","0","0","0","0"
"60","S1-NY Metro","449.36250","444.36250","D-Digital","Turbo","12.5K","Off","Off","TG1 Local","Group Call","1","Andrew N2ZT","Always","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","On","Off","Off","Off","Off","1","0","Off","0","0","0","0","0","0","0","0","0","0","0"
